Rank,Title,Author,Publisher,PublishDate,Price,Rating,ReviewCount,Link
664,스마트폰 완벽 가이드 (2026최신판),최신만,디지털콘텐츠그룹,2026년 06월,18000,,0,https://www.yes24.com/product/goods/191937826
665,누구나 쉽게 배우는 스마트폰·키오스크·AI 기초교실,"이종구, 이정화, 손희주, 민지영",디지털콘텐츠그룹,2026년 06월,14400,,0,https://www.yes24.com/product/goods/191933885
666,지방의정 AI로 혁신하라,원성묵,새빛,2026년 06월,18000,,0,https://www.yes24.com/product/goods/191890613
667,AX 에이전트 경영,황영오,미디어북,2026년 05월,24000,,0,https://www.yes24.com/product/goods/191852992
668,AI와 기독교 교육,이성아,커뮤니케이션북스,2026년 06월,12000,,0,https://www.yes24.com/product/goods/191547374
669,처음이지만 프로처럼 쓰는 n8n,곽지호(단테),디지털북스,2026년 06월,29700,,0,https://www.yes24.com/product/goods/191534262
670,블렌더 3D 아트워크 완성 클래스,장승필,영진닷컴,2026년 06월,25200,9.7,14,https://www.yes24.com/product/goods/191533966
671,스마트폰으로 배우는 챗GPT & 생성형 AI,안은진,아티오,2026년 06월,13500,,0,https://www.yes24.com/product/goods/191303626
672,여보! 코딩은 바이브야!,김응,BOOKK(부크크),2026년 06월,19500,,0,https://www.yes24.com/product/goods/191021061
673,메타스플로잇 2/e,"데이비드 케네디, 마티 아하로니, 데번 컨즈, 짐 오고먼, 다니엘 G. 그레이엄, 정보 더 보기/감추기, 데이비드 케네디, 마티 아하로니, 데번 컨즈, 짐 오고먼, 다니엘 G. 그레이엄, 서도현",에이콘출판사,2026년 06월,30600,10.0,6,https://www.yes24.com/product/goods/190981880
674,예제가 가득한 챗GPT with 클로드 길라잡이,이승우,정보문화사,2026년 06월,15120,9.9,16,https://www.yes24.com/product/goods/190877794
675,얄팍한 AI 지식 쌓기,김도균,ADK FIRST,2026년 05월,15120,9.6,5,https://www.yes24.com/product/goods/190446025
676,초보도 바로 되는 AI 콘텐츠,"이도혜, 김인호, 문정수, 바울, 육화영, 정보 더 보기/감추기, 이도혜, 김인호, 문정수, 바울, 육화영, 이성열, 이수진, 이진영, 정지연, 노수승, 배경수, 김진선",미디어북,2026년 05월,20000,10.0,39,https://www.yes24.com/product/goods/190278099
677,실전 50개 프로젝트로 배우는 바이브 코딩,"김선철, AI",BOOKK(부크크),2026년 05월,26600,,0,https://www.yes24.com/product/goods/190271690
678,스마트한 시니어를 위한 엑셀과 파워포인트 흑백판,차혜원,BOOKK(부크크),2026년 05월,20000,,0,https://www.yes24.com/product/goods/190271633
679,데이터 과학을 위한 기초수학 with 파이썬,이병준,한빛아카데미,2026년 05월,28000,,0,https://www.yes24.com/product/goods/190216677
680,AI와 과학관,"손성근, 김민환, 김상우",커뮤니케이션북스,2026년 05월,12000,10.0,2,https://www.yes24.com/product/goods/190210830
681,크리에이터 김연지의 돈 되는 AI 콘텐츠 설계,김연지,한빛비즈,2026년 05월,18000,10.0,37,https://www.yes24.com/product/goods/189850864
682,CMMC 레벨 1 실무 가이드,이민재,좋은땅,2026년 05월,31500,10.0,5,https://www.yes24.com/product/goods/189628247
683,비개발자도 클로드 코드로 쉽게 만드는 AI 웹 서비스,최원재,위즈앤북,2026년 05월,22500,10.0,1,https://www.yes24.com/product/goods/189627877
