순위	제목	저자	출판사	출간일	판매가	정가	할인율	링크	이미지
397	SQL TUNER for PostgreSQL	유일환	디비안(DBian)	2026년 03월	39,000	39,000	nan	https://www.yes24.com/product/goods/180515096	https://image.yes24.com/goods/180515096/L
398	오픈클로 with GPT, 제미나이, 클로드	강민혁	한빛미디어	2026년 03월	19,800	22,000	10.0	https://www.yes24.com/product/goods/180510836	https://image.yes24.com/goods/180510836/L
399	AI 중심 대학	장준호	연암사	2026년 03월	17,010	18,900	10.0	https://www.yes24.com/product/goods/180489490	https://image.yes24.com/goods/180489490/L
400	파이토치로 배우는 LLM & AI	로런스 모로니	한빛미디어	2026년 03월	32,400	36,000	10.0	https://www.yes24.com/product/goods/180488781	https://image.yes24.com/goods/180488781/L
401	한 입 크기로 잘라 먹는 리액트	이정환	인사이트(insight)	2026년 02월	29,700	33,000	10.0	https://www.yes24.com/product/goods/179604283	https://image.yes24.com/goods/179604283/L
402	지속 가능한 프런트엔드 엔지니어링	이문기	위키북스	2026년 02월	25,200	28,000	10.0	https://www.yes24.com/product/goods/179587739	https://image.yes24.com/goods/179587739/L
403	된다! 링크드인 활용법	변재일	이지스퍼블리싱	2026년 03월	19,800	22,000	10.0	https://www.yes24.com/product/goods/178728770	https://image.yes24.com/goods/178728770/L
404	교실로 온 ON 제미나이	박찬	다빈치books	2026년 03월	19,800	22,000	10.0	https://www.yes24.com/product/goods/177808924	https://image.yes24.com/goods/177808924/L
405	처음이지만 프로처럼 쓰는 캔바 (Canva)	정다은(시재)	디지털북스	2026년 03월	27,000	30,000	10.0	https://www.yes24.com/product/goods/177077802	https://image.yes24.com/goods/177077802/L
406	AI 에이전트 마스터 클래스	김구현	한빛미디어	2026년 01월	23,400	26,000	10.0	https://www.yes24.com/product/goods/175902524	https://image.yes24.com/goods/175902524/L
407	바로 배워 바로 쓰는 챗봇 수업디자인 A~Z	김은현	앤써북	2026년 01월	21,600	24,000	10.0	https://www.yes24.com/product/goods/175490511	https://image.yes24.com/goods/175490511/L
408	제대로 알고 쓰는 논문 통계분석 with 파이썬&머신러닝	노경섭	한빛아카데미	2026년 01월	38,000	38,000	nan	https://www.yes24.com/product/goods/175122536	https://image.yes24.com/goods/175122536/L
409	심리상담과 AI의 융합	이혜숙	커뮤니케이션북스	2026년 01월	12,000	12,000	nan	https://www.yes24.com/product/goods/175110073	https://image.yes24.com/goods/175110073/L
410	왕초보 시니어도 쉽게 따라 하는 챗GPT 사용법	곽민철	생능북스	2026년 01월	15,120	16,800	10.0	https://www.yes24.com/product/goods/174707316	https://image.yes24.com/goods/174707316/L
411	AI로 완성하는 고수익 유튜브 운영 비법	현승효(디스이즈머니)	시대인	2026년 01월	16,200	18,000	10.0	https://www.yes24.com/product/goods/174682706	https://image.yes24.com/goods/174682706/L
412	처음 배우는 유니티 6 2D 게임 만들기	고정운	시대인	2026년 01월	43,200	48,000	10.0	https://www.yes24.com/product/goods/174184626	https://image.yes24.com/goods/174184626/L
413	API부터 메시징까지, 실무 백엔드 개발자가 알아야 할 5가지 핵심 원리	김준서	콩콩 컴퍼니	2025년 12월	19,500	19,500	nan	https://www.yes24.com/product/goods/173934664	https://image.yes24.com/goods/173934664/L
414	AI시대 교육혁명 : 태재대학교	염재호	태재대학교출판문화원	2026년 01월	13,500	15,000	10.0	https://www.yes24.com/product/goods/171431187	https://image.yes24.com/goods/171431187/L
415	LLM을 위한 프롬프트 엔지니어링	존 베리먼	제이펍	2026년 01월	25,200	28,000	10.0	https://www.yes24.com/product/goods/170504549	https://image.yes24.com/goods/170504549/L
416	프롬프트를 만드는 프롬프트 GPTs & Gems	민진홍	성안당	2025년 12월	24,300	27,000	10.0	https://www.yes24.com/product/goods/169672758	https://image.yes24.com/goods/169672758/L
417	AI를 움직이는 수학 이야기	후루시마 도오루	한빛미디어	2025년 12월	29,700	33,000	10.0	https://www.yes24.com/product/goods/169407614	https://image.yes24.com/goods/169407614/L
418	AI와 음악 교육	윤관기	커뮤니케이션북스	2025년 12월	12,000	12,000	nan	https://www.yes24.com/product/goods/168635560	https://image.yes24.com/goods/168635560/L
419	Google로 수업을 바꾸는 교사들의 시크릿	정진아	교사크리에이터협회	2025년 12월	18,900	21,000	10.0	https://www.yes24.com/product/goods/167841837	https://image.yes24.com/goods/167841837/L
420	회사에서 바로 통하는 파워포인트 FOR STARTERS	이화진	한빛미디어	2025년 12월	15,300	17,000	10.0	https://www.yes24.com/product/goods/167475617	https://image.yes24.com/goods/167475617/L
421	2026 AI 교육 트렌드	박소이	길벗	2025년 12월	22,500	25,000	10.0	https://www.yes24.com/product/goods/167434734	https://image.yes24.com/goods/167434734/L
422	파이썬으로 시작하는 인공지능 기초 수업	채상미	길벗	2025년 11월	22,500	25,000	10.0	https://www.yes24.com/product/goods/167430900	https://image.yes24.com/goods/167430900/L
423	일 잘하는 엔지니어의 생각 기법	캐리 밀샙	책만	2025년 11월	22,500	25,000	10.0	https://www.yes24.com/product/goods/167405152	https://image.yes24.com/goods/167405152/L
424	C# 스크립트를 활용한 유니티 6 개발	렘 애퍼슨	에이콘출판사	2025년 11월	37,800	42,000	10.0	https://www.yes24.com/product/goods/166394010	https://image.yes24.com/goods/166394010/L
425	쉽게 배우고 바로 쓰는 에듀테크 첫걸음	조종현	성안당	2025년 11월	16,200	18,000	10.0	https://www.yes24.com/product/goods/165275154	https://image.yes24.com/goods/165275154/L
