Rank,Title,Author,Publisher,PublishDate,Price,Rating,ReviewCount,Link,Description
899,"좋아 보이는 것들의 비밀, 컬러",최경원,길벗,2025년 06월,26100,9.8,22,https://www.yes24.com/product/goods/147079126,"좋아 보이는 것들의 비밀, 컬러. 보는 것만으로도 눈이 즐거워지는 컬러 디자인 북 - 눈으로 이해하는 색의 원리 - 보는 만큼 길러지는 색의 감각- 감각 위에 쌓여가는 색의 조화"
900,최강 구도 디자인 92,"ingectar-e, 트랜스메이트",위키북스,2025년 05월,16200,10.0,3,https://www.yes24.com/product/goods/146935012,최강 구도 디자인 92. 심플하고 정돈된 디자인을 만들고 싶다!기능적이면서도 효과적인 결과물을 완성하고 싶다!디자인을 시작할 때 가장 먼저 마주하는 난관은 바로 ‘레이아웃’이다. 사실 우리가 일상에서 자주 접하는 많은 디자인들은 ‘황금비율’을 활용해 만들어진 ...
901,웹툰 제작 가이드 with AI,김가이,길벗캠퍼스,2025년 05월,30000,9.8,11,https://www.yes24.com/product/goods/146504995,"웹툰 제작 가이드 with AI. 기획안 설계부터 글콘티, 캐릭터, 배경 이미지, 웹툰 숏폼 영상까지 AI 생성기초 프로세스 이해부터 웹툰 제작을 위한 작업 구성펜과 잉크로 그리던 출판만화에서 와콤 타블렛을 활용한 디지털 드로잉 기반의 웹툰으로 이어진 변화는 ..."
902,"당근 하나로 매출 2배, 동네 1등 가게 만드는 실전 전략",서혜미,아티오,2025년 05월,15300,9.4,14,https://www.yes24.com/product/goods/146504169,"당근 하나로 매출 2배, 동네 1등 가게 만드는 실전 전략. SNS의 영향력이 날로 커지는 요즘에는 SNS가 창업 후 마케팅 필수 도구로 활용되고 있다. 강의나 컨설팅에 가서 만난 많은 분 중에 SNS를 활용하면 장사가 잘된다는데 어떻게 해야 할지 모르겠다고 ..."
903,AX 기획론,노주환,공존의미학,2025년 05월,25200,,0,https://www.yes24.com/product/goods/146388983,"AX 기획론. AI는 더 이상 특별한 기술이 아니다.이제는 서비스와 비즈니스를 혁신하는 핵심 수단이다.『AX 기획론: 서비스 혁신을 위한 AI 실무 가이드』는 복잡한 AI 기술 설명에 머무르지 않는다. AI를 어떻게 이해하고, 어떻게 기획하고, 어떻게 실무에 ..."
904,열정민쌤의 챗GPT&AI 수업 실전서,"원정민, 권혜영, 신명진, 이채연",한빛미디어,2025년 05월,18000,9.7,39,https://www.yes24.com/product/goods/146143006,"열정민쌤의 챗GPT&AI 수업 실전서. 오늘 배워서 내일 바로 쓸 수 있는, 교사를 위한 진짜 쉬운 AI 수업 실전서!『열정민쌤의 챗GPT & AI 수업 실전서』는 AI를 수업에 접목해온 현직 교사들이 집필한 실용적인 가이드북이다. 단순한 도구 소개를 넘어, ..."
905,중고노트북 놀랍도록 저렴하게 사용하는 방법,곽영암,BOOKK(부크크),2025년 04월,8200,,0,https://www.yes24.com/product/goods/146139930,"중고노트북 놀랍도록 저렴하게 사용하는 방법. 중고노트북 용도별 시세, 욕심을 버리면 (낭비하고 싶지 않다면) 2만원대 노트북도 충분히 용도에 맞게 사용이 가능함을 강조하고 싶다. 최고사양의 노트북이나 최신 스마트폰을 사면 그들의 기능이 정말로 많아서 뭐가 뭔지..."
906,네이버 스마트스토어 운영하기,서미진,한빛미디어,2025년 05월,18900,9.6,34,https://www.yes24.com/product/goods/146041188,"네이버 스마트스토어 운영하기. 스마트스토어, 시작은 했지만 매출이 오르지 않는다면?지금 필요한 건 ‘운영력’이다!스마트스토어는 누구나 쉽게 시작할 수 있지만, 매출이 꾸준히 오르는 스마트스토어는 운영 방식부터 다르다. 상품을 등록했는데 주문이 들어오지 않아 상..."
907,AI와 회계사,윤양인,커뮤니케이션북스,2025년 05월,12000,,0,https://www.yes24.com/product/goods/146012572,"AI와 회계사. 인공지능 시대 회계사의 역할 변화를 조명한다. 회계사 시험의 IT 과목 비중 확대, 회계감사·인증·부정조사 등에서 AI 활용 사례를 다루며, 신입 회계사와 실무자 모두를 위한 가이드를 제공한다."
908,AI 영상 제작 트렌드,진승현,커뮤니케이션북스,2025년 05월,12000,,0,https://www.yes24.com/product/goods/146012568,"AI 영상 제작 트렌드. 영화 산업의 변화를 분석한다. 대본 작성, 편집, VFX 제작까지 AI가 창의성과 효율을 높이며 영상 제작 방식을 바꾸고 있다. 숏폼 유행, OTT 확산 등 시대 흐름과 함께 AI 도구 `소라`를 통한 새로운 영상 제작 가능성도 소개한다."
909,AI와 정책 홍보의 변화,정휘관,커뮤니케이션북스,2025년 05월,12000,,0,https://www.yes24.com/product/goods/146001337,"AI와 정책 홍보의 변화. 정책 홍보는 정책의 복잡성과 대중 소통 사이에서 늘 균형을 요구받는다. 인공지능이 재편하고 있는 사회에서 정책 홍보의 현재와 미래를 조망한다. AI가 정책 홍보에 가져올 변화와 가능성을 실무 관점에서 분석하며, 기획, 제작, 여론 분..."
910,아이패드 드로잉으로 기록하는 일상의 조각들,이이오,한빛라이프,2025년 05월,19800,10.0,10,https://www.yes24.com/product/goods/145963641,"아이패드 드로잉으로 기록하는 일상의 조각들. 디지털 드로잉 기초부터 나만의 작품 완성까지매월 한 장씩, 매 계절 한 작품씩 그려내는 꾸준한 아이패드 드로잉 습관아이패드로 따뜻한 일상과 아날로그 감성을 담아내는 이이오 작가의 두 번째 책이다. 디지털 드로잉이 ..."
911,LLM 엔지니어링,"폴 이우수틴, 막심 라본, 조우철",한빛미디어,2025년 05월,34200,9.8,18,https://www.yes24.com/product/goods/145962625,"LLM 엔지니어링. LLM 엔지니어링의 모든 것을 망라한 실전 가이드『LLM 엔지니어링』은 프로덕션 수준의 LLM 애플리케이션을 개발하고 배포하는 데 필요한 엔지니어링 방법들을 상세히 안내한다. LLM 라이프사이클을 체계적으로 살펴보며, 데이터 엔지니어링부터 ..."
912,주니어 백엔드 개발자가 반드시 알아야 할 실무 지식,최범균,한빛미디어,2025년 04월,25200,9.8,28,https://www.yes24.com/product/goods/145761422,주니어 백엔드 개발자가 반드시 알아야 할 실무 지식. 실무에서 자주 겪는 다양한 문제를 효과적으로 해결하는 법서비스 환경에서는 커넥션을 닫지 않아 서버가 멈추고 외부 API의 지연이 전체 장애로 번지며 사소한 설정 실수가 사용자 전체에 영향을 주는 일이 실제로...
913,쓱 하고 싹 배우는 파워포인트 365,최옥주,영진닷컴,2025년 05월,12600,,0,https://www.yes24.com/product/goods/145752875,"쓱 하고 싹 배우는 파워포인트 365. 친절한 설명과 재미있는 실습 예제가 큰 그림과 큰 글씨로 담겨 있어 누구나 쉽고 빠르게 배울 수 있는 ‘파워포인트 365’마이크로소프트 오피스 365는 월 사용료를 납부하는 구독형 오피스 프로그램으로, 클라우드 서비스를 ..."
914,AI 콘텐츠 트렌드,김민지,커뮤니케이션북스,2025년 04월,12000,,0,https://www.yes24.com/product/goods/145394077,"AI 콘텐츠 트렌드. AI 콘텐츠는 다양한 영역을 아우르는 커다란 캔버스에서 펼쳐지는 새로운 그림과 같다. AI 콘텐츠의 현재와 미래를 가늠하기 위해서는 열린 시선이 필요하다. 혁신 기술과 산업 동향을 기민하게 파악하는 감각, 그리고 급변하는 시대 속에서 불변..."
915,실리콘밸리에서 통하는 파이썬 인터뷰 가이드,"런젠펑, 취안수쉐, 신준기",제이펍,2025년 05월,24300,9.6,10,https://www.yes24.com/product/goods/145227885,"실리콘밸리에서 통하는 파이썬 인터뷰 가이드. 실리콘밸리 기술 면접, 무엇이 다르고 어떻게 통과할 수 있는가 저자 런젠펑은 구글에 입사해 면접관이자 소프트웨어 엔지니어로 일하고 있다. 수많은 인터뷰를 겪으며 지원자와 면접관 양쪽의 경험을 쌓았고, 그 지식을 집대..."
916,5차원 AI,"원동연, 민진홍",성안당,2025년 04월,20700,9.7,49,https://www.yes24.com/product/goods/145217225,"5차원 AI. 바닷 속 생태계를 유지하는 기적의 염분 농도 2.7%의 사람, AI 시대 속 ‘인간력’을 키우는 혁신적 교육법 제시AI 시대, 정보를 넘어 깊이 있는 사고와 문제 해결력, 창조적 지성을 강화하는 인사이트를 길러준다! 인공지능(AI) 시대를 살아..."
917,AI와 미래 의사,임채영,커뮤니케이션북스,2025년 04월,12000,,0,https://www.yes24.com/product/goods/145022805,AI와 미래 의사. 인공지능이 의료 현장을 어떻게 바꾸고 있는지를 살피며 AI와 협업하는 의사의 새로운 역할과 역량을 다룬다. 기술 발전과 윤리 문제를 함께 조망한다.
918,처음부터 시작하는 Next.js / React 개발 입문,"미요시 아키, 김모세",AK(에이케이 커뮤니케이션즈),2025년 04월,33440,,0,https://www.yes24.com/product/goods/145013501,"처음부터 시작하는 Next.js / React 개발 입문. 『처음부터 시작하는 Next.js / React 개발 입문』은 Next.js를 처음 사용하는 분을 대상 독자로 한 초보자용 입문서이다. ‘Next.js가 어렵게 느껴졌지만 의외로 그렇지 않다’, ‘Ne..."
919,윌 라슨의 엔지니어링 리더십,"윌 라슨, 임백준",한빛미디어,2025년 04월,23400,9.7,7,https://www.yes24.com/product/goods/144979268,윌 라슨의 엔지니어링 리더십. 테크 리더로 성장하고 싶은 당신을 위한 필독서윌 라슨의 엔지니어링 리더십 전략 대방출엔지니어링 조직을 이끄는 일은 단순한 기술 관리가 아니다. 뛰어난 엔지니어였던 사람이 훌륭한 리더가 되는 것은 또 다른 도전이다. 이 책은 테크 ...
920,이게 되네? 챗GPT 미친 크롤링 24제,박현규,골든래빗,2025년 04월,23400,9.1,7,https://www.yes24.com/product/goods/144868498,"이게 되네? 챗GPT 미친 크롤링 24제. 클릭보다 빠른 데이터 수집, 코딩 없이 챗GPT와 함께라면 웹 크롤링도 문제없습니다!API부터 나만의 GPTs, 엑셀, 차트, 결과물까지! 이걸 긁네? 웹 크롤링과 자동화의 모든 과정을 한 권으로 완성!하루 1시간으로..."
921,씽크톡톡 엑셀 2021,"도용화, 금미정",웰북,2025년 04월,9000,,0,https://www.yes24.com/product/goods/144699966,"씽크톡톡 엑셀 2021. 모든 과정의 컴퓨터 수업에 OK! 16강의 기본학습과 8강의 작품만들기로 16강 수업도, 24강 수업도 모두 OK! 기초부터 탄탄하게 배우자. 생활에서 자주 사용하는 기능을 중심으로 기초부터 활용까지 체계적으로 배울 수 있다. 다양한 ..."
922,인스타그램 마케팅으로 돈벌기,최영인,성안당,2025년 04월,22500,9.9,38,https://www.yes24.com/product/goods/144693678,"인스타그램 마케팅으로 돈벌기. 돈 되는 인스타그램 브랜딩부터 마케팅 전략까지!인스타그램 마케팅 전략, 개인과 브랜드를 위한 성공 가이드!팔로워를 늘리는 인스타그램 비즈니스 계정 운영 노하우!인스타그램은 단순한 사진 공유를 넘어서, 강력한 브랜드 마케팅 툴로 자..."
923,AI와 미디어 윤리,박선미,커뮤니케이션북스,2025년 04월,12000,,0,https://www.yes24.com/product/goods/144688656,"AI와 미디어 윤리. 생성형 AI 시대의 프라이버시, 저작권, 알고리즘 편향 등 주요 윤리 문제를 다양한 사례와 함께 짚고, 국제적·국내 윤리 기준과 대응 방안을 소개한다."
924,할 수 있다! 스마트폰을 활용한 영상 촬영 편집 with 키네마스터,황점희,시대인,2025년 04월,10800,10.0,9,https://www.yes24.com/product/goods/144554031,"할 수 있다! 스마트폰을 활용한 영상 촬영 편집 with 키네마스터. 스마트폰 이용한 영상 촬영에서 편집, 유튜브 업로드까지!스마트폰을 이용해 사진과 영상을 촬영하고 기본 앱인 포토 에디터와 비디오 에디터를 이용해 사진과 동영상을 편집하는 기본적인 방법을 소개..."
925,어른을 위한 이것이 인공지능이다,김명락,슬로디미디어,2025년 04월,15120,10.0,3,https://www.yes24.com/product/goods/144546046,어른을 위한 이것이 인공지능이다. ***** 2025년 런던 국제 도서전 출품 도서!***** 5년간 독자들이 선택한 인공지능 분야의 최장기 베스트셀러!***** 『이것이 인공지능이다』개정판 출간!*****과학기술정보통신부 ‘우수과학도서’ 선정 도서! ****...
